customer_id,full_name,email,phone,region,postcode,signup_date,loyalty_member,age_group
CUST00001,Lisa Thompson-Barrett,,+441514960168,South East,E6J 5SE,2024-02-12,True,55+
CUST00002,MELANIE ALEXANDER,suzannegreen@example.com,0113 496 0614,South East,PH2A 9LZ,2023-11-10,True,26-35
CUST00003,Jasmine Barnes,dianaharrison@example.org,01154960718,Wales,B4 8WZ,2024-05-22,True,46-55
CUST00004,ms melanie evans,brandonconnolly@example.com,(0161)4960948,Yorkshire,G9A 4RX,2024-07-19,True,46-55
CUST00005,Miss Leah Palmer,farmerrussell@example.org,(0114)4960400,East of England,BB7 6QY,2024-07-08,True,46-55
CUST00006,Sharon Richards,martyndavies@example.com,0808 1570005,South East,E2G 0GX,2026-04-01,True,46-55
CUST00007,RONALD CHARLTON,richardsonjoanne@example.net,(020) 74960471,Wales,E9 1JJ,2025-10-10,False,55+
CUST00008,JAMES BRENNAN-FOSTER,forsterjeffrey@example.com,+44114 4960677,East of England,SY74 5AB,2025-03-18,True,26-35
CUST00009,Chelsea Wright-Smith,kathleen73@example.org,+44113 4960342,West Midlands,N9 2QG,2025-05-26,False,36-45
CUST00010,Colin Burton,jfoster@example.org,(0141) 496 0914,North West,SR4 8BR,2026-05-02,True,18-25
CUST00011,Geoffrey Moore,ebrown@example.org,+44(0)115 4960510,North East,W78 9SL,2025-10-09,False,36-45
CUST00012,Melanie Perry,fcook@example.org,+44808 1570891,Wales,WA22 8EA,2025-09-06,True,18-25
CUST00013,Mr Glenn Cooke,mcdonaldjanice@example.net,+44(0)1632 960 940,East of England,IV35 1XS,2024-01-14,True,36-45
CUST00014,Mr Tony Marsh,yyoung@example.com,(0113)4960683,Yorkshire,E0 8PT,2025-01-21,True,36-45
CUST00015,Carolyn Harris-Lane,pricedonald@example.net,+44(0)115 496 0264,North West,S3D 1FR,2023-10-25,False,55+
CUST00016,glenn webb,fowlershane@example.net,+44306 999 0273,South West,M5A 3SU,2024-09-22,True,18-25
CUST00017,valerie rogers-morris,lgreen@example.org,+44116 496 0597,North West,G4 5ER,2023-11-14,False,55+
CUST00018,mr brett turner,jmason@example.net,+44808 1570723,Scotland,N0S 3UU,2024-01-08,True,18-25
CUST00019,Rebecca Davies,shepherdrosemary@example.org,+44306 9990281,Wales,HS8 0UR,2025-06-11,True,46-55
CUST00020,Melissa Lyons,taylortrevor@example.org,(029)2018443,London,WC3X 9FA,2024-05-27,True,55+
CUST00021,Geraldine Robinson,barrythomas@example.com,+44131 4960320,South East,OL9 0UA,2023-05-13,True,26-35
CUST00022,Allan Cooper-Williamson,lewischristopher@example.com,+44(0)2074960591,East of England,SP7 0SY,2026-04-21,True,55+
CUST00023,Mr Karl Thomson,cheryl52@example.org,(01632)960618,East of England,DT62 9NP,2025-11-04,False,26-35
CUST00024,miss stacey green,gareth26@example.com,(01632) 960 804,London,TF1 1AF,2023-08-01,False,18-25
CUST00025,Dr Damien Morgan,stevensimpson@example.org,(0131) 496 0508,Wales,EX5 2ED,2025-01-13,True,36-45
CUST00026,Gemma Atkins,alan73@example.net,0116 496 0970,Wales,NR2P 9UB,2023-06-11,True,26-35
CUST00027,Miss Sophie Quinn,bellis@example.com,+44(0)808 1570719,West Midlands,E3H 4NY,2024-12-26,True,46-55
CUST00028,Dr Frank Lees,kayleigh30@example.org,+44(0)29 2018312,South East,FK1V 6BF,2024-12-17,True,55+
CUST00029,Dr Frederick Khan,,01514960587,Yorkshire,N0S 2WN,2025-06-09,True,36-45
CUST00030,Adrian White-Lee,evansjoanna@example.net,(029) 2018243,South East,M68 7EB,2023-09-03,True,55+
CUST00031,Danny Hughes,psanderson@example.net,+44(0)191 4960198,North East,S8D 5WQ,2025-08-20,True,46-55
CUST00032,abigail smith,martinbethan@example.org,0131 496 0192,East of England,FY76 8SG,2025-12-07,True,18-25
CUST00033,Louise Khan,eleanor16@example.org,+44(0)909 8790354,London,GU77 8AR,2023-06-27,True,26-35
CUST00034,Susan Lloyd,jane40@example.org,+44131 496 0371,Wales,DH0N 7FD,2026-03-12,True,46-55
CUST00035,Paula White-Hunter,colinchadwick@example.net,+44(0)113 496 0404,Wales,S2 8JY,2025-08-18,True,26-35
CUST00036,Dr Hilary Phillips,annhilton@example.org,0161 4960317,North West,PH2 9WT,2025-04-19,True,26-35
CUST00037,Dr Marion Robinson,,+441632 960 339,South West,N9 4AG,2024-12-29,False,36-45
CUST00038,Claire Ross,holliebrown@example.com,+44(0)8081570752,South West,L2 2ZG,2026-03-27,True,46-55
CUST00039,Dr Philip Hicks,leoncarter@example.org,+449098790679,North West,WD72 5XW,2024-04-21,True,18-25
CUST00040,Miss Lisa Brennan,,(020) 7496 0778,East of England,M76 4TB,2024-08-27,True,26-35
CUST00041,dr robert coleman,louis32@example.net,(0909)8790149,London,FY50 2RY,2025-01-06,True,26-35
CUST00042,Ms Samantha Frost,bakerwilliam@example.com,(0161) 496 0985,South West,PL15 7DG,2025-02-06,True,18-25
CUST00043,Jean Burgess,ruthwilkinson@example.org,0306 999 0199,South West,E08 3HE,2024-07-07,True,36-45
CUST00044,Christian Peters,margaret15@example.org,+44118 4960976,Yorkshire,RG87 4TW,2024-09-18,False,18-25
CUST00045,julia abbott,mark39@example.com,(0118) 496 0614,London,EX7R 7QY,2024-06-04,True,55+
CUST00046,Michelle Lee,geraldwinter@example.net,+441144960516,West Midlands,B7F 9ZT,2023-07-22,False,36-45
CUST00047,Dorothy Watson-Kirby,alexandertoby@example.org,(0115) 496 0784,North West,L50 5HA,2025-01-07,True,55+
CUST00048,Ms Suzanne Baker,kwilliams@example.org,02074960569,London,G3 0ZE,2025-02-27,True,36-45
CUST00049,Dr Pamela John,guyclayton@example.net,(0117) 4960930,South East,L42 0LW,2025-03-05,True,26-35
CUST00050,Amanda Gibson,lindseystephenson@example.com,+44(0)306 999 0955,East of England,W1 0YE,2025-01-13,False,18-25
CUST00051,DR CAMERON RICHARDS,dorothy91@example.org,(0114) 4960063,South East,BR2B 2GD,2024-10-07,False,26-35
CUST00052,Dr Francesca Akhtar,obrientimothy@example.net,+44306 9990139,West Midlands,SW00 4RE,2024-09-03,True,18-25
CUST00053,Mrs Jill Williams,lboyle@example.net,(0909) 879 0171,South East,CM6 4NQ,2025-08-29,False,55+
CUST00054,MR ALBERT HENRY,gsingh@example.net,028 9018862,Wales,S28 0RS,2026-02-20,False,18-25
CUST00055,Shirley Brown,lydiaarcher@example.org,+441164960843,East of England,SR4 0YT,2025-05-25,True,46-55
CUST00056,Lynn Taylor,usims@example.net,(028) 9018209,North East,S3S 3FG,2023-12-21,True,46-55
CUST00057,Thomas Glover-Carter,rtaylor@example.com,(0161) 496 0538,London,W2K 2BZ,2024-07-10,True,26-35
CUST00058,DR CARLY SMART,neilmoore@example.org,+44(0)161 4960126,West Midlands,CO3 6RS,2026-04-17,True,46-55
CUST00059,Graham Wright,popedale@example.com,+44(0)1214960471,Yorkshire,W18 5UD,2023-11-16,True,26-35
CUST00060,Dr Michael Hall,williamsdenis@example.net,(0909) 8790481,London,PL07 6JT,2024-02-06,False,36-45
CUST00061,jamie mclean-bennett,trevorvincent@example.net,+443069990158,Wales,G5 4LX,2025-05-30,False,26-35
CUST00062,MAX WEBB-GARDNER,wadejenna@example.net,+44(0)121 496 0913,North East,W9 3FJ,2025-06-22,True,46-55
CUST00063,William Ali,garethpickering@example.net,(0808) 157 0030,East of England,L12 3BB,2026-01-04,True,46-55
CUST00064,amber evans,nataliehill@example.com,(0114) 496 0814,North East,W29 1DJ,2024-02-20,True,26-35
CUST00065,Dominic Smith-Kennedy,henryclarke@example.com,0191 4960618,East of England,G17 4PB,2024-06-23,True,18-25
CUST00066,Ms Beth Taylor,nfox@example.com,0113 496 0636,West Midlands,M6H 9JA,2025-02-16,False,55+
CUST00067,Bruce Patel,nobleellie@example.net,+44(0)1154960406,North West,OL4 2PW,2023-06-12,True,55+
CUST00068,Janet Khan,charltongordon@example.net,+44(0)114 496 0400,North East,PH4 7QH,2025-01-16,True,46-55
CUST00069,Mr Phillip Ryan,burtonirene@example.net,+44(0)909 879 0021,North East,CO75 4TQ,2025-10-19,True,55+
CUST00070,damien shah-bird,stephaniewhitehead@example.com,+44(0)191 4960291,Scotland,E8D 3TW,2026-05-03,True,55+
CUST00071,Tracey Wood,harpercatherine@example.com,+441164960181,East of England,S8K 5TS,2024-03-19,True,26-35
CUST00072,Jenna Collins,,+442074960156,London,G80 3RR,2026-05-01,False,46-55
CUST00073,Mr Ronald Brown,nicholasrussell@example.org,(0141) 496 0609,North East,S71 5EG,2025-11-25,True,18-25
CUST00074,Brenda Marshall,benpoole@example.com,0118 496 0265,South East,G69 7SF,2025-04-24,True,46-55
CUST00075,Jessica Taylor,garethreid@example.com,+44115 496 0294,London,M5K 0BJ,2023-05-21,True,55+
